[2024-09-03 09:49:57,290: INFO: main: template_config works]
[2024-09-03 15:25:04,039: INFO: main: transformer works]
[2024-09-04 14:12:21,478: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-04 14:14:15,763: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-04 14:14:15,781: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-04 14:14:15,782: INFO: common: created directory at: artifacts]
[2024-09-04 14:14:15,784: INFO: common: created directory at: artifacts\train_model]
[2024-09-04 14:20:15,457: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-04 14:20:15,462: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-04 14:20:15,464: INFO: common: created directory at: artifacts]
[2024-09-04 14:20:15,465: INFO: common: created directory at: artifacts\train_model]
[2024-09-04 14:20:15,503: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-04 14:20:15,508: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-04 14:20:15,509: INFO: common: created directory at: artifacts]
[2024-09-04 14:20:15,511: INFO: common: created directory at: artifacts/pretrain_model]
[2024-09-04 14:20:15,515: INFO: main: >>>>>> stage DATA_INJECTION started <<<<<<]
[2024-09-04 14:22:48,039: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-04 14:22:48,045: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-04 14:22:48,048: INFO: common: created directory at: artifacts]
[2024-09-04 14:22:48,050: INFO: common: created directory at: artifacts\train_model]
[2024-09-04 14:22:48,062: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-04 14:22:48,067: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-04 14:22:48,068: INFO: common: created directory at: artifacts]
[2024-09-04 14:22:48,070: INFO: common: created directory at: artifacts/pretrain_model]
[2024-09-04 14:22:48,075: INFO: main: >>>>>> stage DATA_INJECTION started <<<<<<]
[2024-09-04 17:44:41,326: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-04 17:44:41,337: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-04 17:44:41,340: INFO: common: created directory at: artifacts]
[2024-09-04 17:44:41,342: INFO: common: created directory at: artifacts\train_model]
[2024-09-04 17:44:41,349: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-04 17:44:41,357: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-04 17:44:41,359: INFO: common: created directory at: artifacts]
[2024-09-04 17:44:41,361: INFO: common: created directory at: artifacts/pretrain_model]
[2024-09-04 17:44:41,366: INFO: main: >>>>>> stage DATA_INJECTION started <<<<<<]
[2024-09-04 17:44:41,374: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-04 17:44:41,378: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-04 17:44:41,379: INFO: common: created directory at: artifacts]
[2024-09-04 17:44:41,380: INFO: common: created directory at: artifacts/pretrain_model]
[2024-09-04 17:44:41,389: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-04 17:44:41,395: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-04 17:44:41,398: INFO: common: created directory at: artifacts]
[2024-09-04 17:50:29,560: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-04 17:50:29,565: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-04 17:50:29,568: INFO: common: created directory at: artifacts]
[2024-09-04 17:50:29,570: INFO: common: created directory at: artifacts\train_model]
[2024-09-04 17:50:29,580: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-04 17:50:29,586: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-04 17:50:29,590: INFO: common: created directory at: artifacts]
[2024-09-04 17:50:29,591: INFO: common: created directory at: artifacts/pretrain_model]
[2024-09-04 17:50:29,595: INFO: main: >>>>>> stage DATA_INJECTION started <<<<<<]
[2024-09-04 17:50:29,605: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-04 17:50:29,610: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-04 17:50:29,612: INFO: common: created directory at: artifacts]
[2024-09-04 17:50:29,616: INFO: common: created directory at: artifacts/pretrain_model]
[2024-09-04 17:50:29,626: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-09-04 17:50:29,632: INFO: common: yaml file: params.yaml loaded successfully]
[2024-09-04 17:50:29,635: INFO: common: created directory at: artifacts]
